leaname,localebasis,schoolmeal,enroll,com,food,eerf
Jasper County School District,Rural inside CBSA/MSA,958869,2220,116840,1531,1531
Jeff Davis County School District,Small Town,1249027,2999,40684,1921,1921
Jefferson City School District,Rural outside CBSA/MSA,467302,2708,57956,902,902
Jefferson County School District,Rural outside CBSA/MSA,1536371,3089,153115,2587,2587
Jenkins County School District,Small Town,879567,1517,65283,1157,1157
Johnson County School District,Rural outside CBSA/MSA,736997,1212,51073,872,872
Jones County School District,Rural inside CBSA/MSA,1351342,5596,283088,2378,2378
Lamar County School District,Urban Fringe of Large City,979970,2494,112062,1685,1685
Lanier County School District,Rural inside CBSA/MSA,721489,1801,48775,1308,1308
Lee County School District,Rural inside CBSA/MSA,1375521,6267,170529,2500,2500
Liberty County School District,Midsize City,3683338,10384,257736,6416,6416
Lincoln County School District,Rural outside CBSA/MSA,504707,1265,31629,806,806
Long County School District,Rural inside CBSA/MSA,1288669,2639,61417,1848,1848
Lowndes County School District,Rural inside CBSA/MSA,2596106,10084,282839,4569,4569
Lumpkin County School District,Small Town,1139961,3834,116587,2045,2045
Macon County School District,Small Town,974608,1857,57126,1527,1527
Madison County School District,Rural inside CBSA/MSA,1571332,4813,110458,2705,2705
Marietta City School District,Midsize City,3182788,7852,368217,5061,5061
Marion County School District,Rural inside CBSA/MSA,649514,1403,37809,993,993
McDuffie County School District,Urban Fringe of Midsize City,1763482,4190,98704,2904,2904
McIntosh County School District,Urban Fringe of Midsize City,759460,1802,50841,1469,1469
Meriwether County School District,Rural inside CBSA/MSA,1541001,3329,249784,2686,2686
Miller County School District,Rural outside CBSA/MSA,422673,1095,35760,749,749
Mitchell County School District,Rural outside CBSA/MSA,1172673,2552,95408,1950,1950
Monroe County School District,Urban Fringe of Midsize City,1320450,4005,92259,2233,2233
Montgomery County School District,Rural outside CBSA/MSA,509317,1102,28666,846,846
Morgan County School District,Small Town,894525,3371,69984,1597,1597
Murray County School District,Urban Fringe of Midsize City,3176036,7718,223056,5488,5488
Muscogee County School District,Midsize City,11100000,32458,739610,19949,19949
Newton County School District,Urban Fringe of Large City,6648462,19637,510064,11940,11940
Oconee County School District,Rural inside CBSA/MSA,726874,6465,91948,1354,1354
Oglethorpe County School District,Rural inside CBSA/MSA,716163,2441,117941,1344,1344
Paulding County School District,Rural inside CBSA/MSA,5710910,28444,584906,10523,10523
Peach County School District,Small Town,1665745,3981,221651,2769,2769
Pelham City School District,Rural outside CBSA/MSA,630885,1484,41952,1148,1148
Pickens County School District,Rural inside CBSA/MSA,1219249,4478,126404,2253,2253
Pierce County School District,Small Town,1271427,3558,131471,2000,2000
Pike County School District,Rural inside CBSA/MSA,738184,3557,101475,1406,1406
Polk County School District,Small Town,2464069,7533,218063,4675,4675
Pulaski County School District,Small Town,613235,1565,60716,1023,1023
Putnam County School District,Small Town,1202749,2753,100125,2039,2039
Quitman County School District,Rural outside CBSA/MSA,328313,386,14913,380,380
Rabun County School District,Rural outside CBSA/MSA,866881,2344,68948,1480,1480
Randolph County School District,Small Town,839719,1323,77946,1181,1181
Richmond County School District,Midsize City,13100000,32449,1147291,23443,23443
Rockdale County School District,Urban Fringe of Large City,5192206,15777,451905,9449,9449
Rome City School District,Midsize City,3248667,5650,156925,4092,4092
Schley County School District,Rural outside CBSA/MSA,443078,1421,46932,732,732
Screven County School District,Small Town,1435585,2607,122071,2035,2035
Seminole County School District,Small Town,823695,1634,46846,1224,1224
Social Circle City School District,Rural inside CBSA/MSA,540631,1811,48216,943,943
Stephens County School District,Rural outside CBSA/MSA,1287672,4121,211150,2299,2299
Stewart County School District,Rural outside CBSA/MSA,384387,540,20724,512,512
Sumter County School District,Small Town,2981090,5116,208821,4302,4302
Talbot County School District,Rural outside CBSA/MSA,432272,644,65204,577,577
Taliaferro County School District,N/A,155280,225,9716,210,210
Tattnall County School District,Rural outside CBSA/MSA,1608718,3589,168388,2563,2563
Taylor County School District,Rural outside CBSA/MSA,651423,1535,49251,1079,1079
Telfair County School District,Small Town,820017,1773,88156,1311,1311
Terrell County School District,Urban Fringe of Midsize City,732572,1512,100,1082,1082
Thomas County School District,Small Town,2154838,5480,176545,3277,3277
Thomasville City School District,Small Town,1150460,2964,80603,2078,2078
Tift County School District,Small Town,2904283,7620,237545,4839,4839
Toombs County School District,Small Town,1476145,3055,120704,2387,2387
Towns County School District,Rural outside CBSA/MSA,401389,1133,32351,609,609
Treutlen County School District,Small Town,564494,1194,56739,878,878
Trion City School District,Rural outside CBSA/MSA,248047,1414,33234,497,497
Turner County School District,Small Town,818901,1666,88604,1290,1290
Twiggs County School District,Rural inside CBSA/MSA,692922,994,10557,863,863
Union County School District,Rural outside CBSA/MSA,965049,2593,155755,1520,1520
Upson County School District,Small Town,1934992,4672,174272,3081,3081
Valdosta City School District,Midsize City,3219264,7544,235585,5890,5890
Vidalia City School District,Small Town,915014,2492,130234,1564,1564
Walker County School District,Urban Fringe of Midsize City,3328217,9324,335505,6384,6384
Walton County School District,Urban Fringe of Large City,3269235,13025,233546,6411,6411
Ware County School District,Small Town,2370716,6083,203745,3947,3947
Warren County School District,Rural outside CBSA/MSA,473601,789,9931,695,695
Washington County School District,Small Town,1386524,3253,96127,2201,2201
Wayne County School District,Small Town,2054312,5373,163342,3356,3356
Webster County School District,Rural outside CBSA/MSA,240704,519,8941,387,387
Wheeler County School District,Rural outside CBSA/MSA,486635,1001,40064,803,803
White County School District,Rural outside CBSA/MSA,1196610,3871,135011,2075,2075
Whitfield County School District,Urban Fringe of Midsize City,5841997,13390,437925,8868,8868
Wilcox County School District,Rural outside CBSA/MSA,573291,1365,18136,1146,1146
Wilkes County School District,Rural outside CBSA/MSA,764011,1689,46382,1254,1254
Wilkinson County School District,Rural outside CBSA/MSA,729836,1607,51755,1340,1340
Worth County School District,Rural inside CBSA/MSA,1456962,3603,92161,2515,2515
